?iso2_str	?age	?val_str	?pop	?den
"ID"	1992	"156645.3"	237424363	124
"IL"	1992	"2029.0"	7869900	371
"IQ"	1992	"3478.2999999999997"	30399572	74
"IR"	1992	"27180.3"	78868711	48
"IS"	1992	"410.9"	320060	3
"IT"	1992	"28697.5"	60681514	201
"JM"	1992	"650.5"	2847232	252
"JO"	1992	"651.0"	6508271	68
"JP"	1992	"29968.2"	127799000	337
"KE"	1992	"10596.4"	43013341	67
"KG"	1992	"1504.3"	5550239	27
"KH"	1992	"6053.5"	14805358	82
"KP"	1992	"3365.7"	24051218	198
"KR"	1992	"14016.400000000001"	48875000	491
"KW"	1992	"679.5"	3566437	200
"KZ"	1992	"18097.8"	16600000	6
"LB"	1992	"648.0"	4224000	404
"LK"	1992	"2094.1"	20860000	309
"LT"	1992	"4459.4"	3187176	50
"LU"	1992	"467.2"	509074	194
"LV"	1992	"1311.8000000000002"	2217053	34
"MA"	1992	"6115.4000000000015"	32545170	72
"MD"	1992	"872.9"	3559500	122
"MK"	1992	"616.1"	2055004	82
"MM"	1992	"31679.7"	60280000	74
"MT"	1992	"73.3"	452515	1307
"MZ"	1992	"9332.5"	22894000	29
"NG"	1992	"21572.5"	170123740	184
"NI"	1992	"3471.0"	5891199	42
"NP"	1992	"4525.9"	29331000	199
"NZ"	1992	"12974.4"	4422700	17
"PE"	1992	"7664.2"	29496000	23
"PK"	1992	"27134.5"	177100000	214
"PL"	1992	"28975.5"	38186860	120
"PT"	1992	"6014.2"	10578776	115
"PY"	1992	"9019.7"	6454548	14
"RU"	1992	"78051.7"	143030106	8
"SA"	1992	"6446.5"	27136977	12
"SI"	1992	"1135.6999999999998"	2050189	101
"SK"	1992	"3275.6"	5445324	111
"SN"	1992	"4042.3999999999996"	12855153	65
"SV"	1992	"1398.9"	6134000	342
"SY"	1992	"5502.2"	22530746	118
"TG"	1992	"1739.7"	6619000	117
"TH"	1992	"22559.3"	667201532	132
"TJ"	1992	"1381.6"	7616000	49
"TM"	1992	"4330.599999999999"	5110000	11
"TN"	1992	"2379.7000000000003"	10732900	63
"TR"	1992	"32631.300000000003"	74724269	97
"TT"	1992	"272.8"	1227505	254
"TZ"	1992	"21437.4"	43188000	46
"UA"	1992	"26008.199999999997"	45888000	77
"UY"	1992	"7032.9"	3318535	19
"UZ"	1992	"10108.9"	29559100	61
"VE"	1992	"14949.199999999999"	27150	30
"VN"	1992	"22814.1"	91519289	259
"YE"	1992	"3264.5"	25130000	45
"ZA"	1992	"25176.5"	48810427	41
"ZM"	1992	"24726.3"	12935000	17
"ZW"	1992	"5744.3"	12521000	26
"AE"	1993	"1420.7"	8264070	99
"AM"	1993	"731.4000000000001"	3262200	108
"AO"	1993	"3307.0"	18498000	15
"AR"	1993	"54015.700000000004"	41281631	15
"AT"	1993	"4196.1"	8414638	1003
"AU"	1993	"58046.700000000004"	22875104	3
"AZ"	1993	"2622.3999999999996"	9165000	106
"BA"	1993	"1077.6"	3839737	75
"BD"	1993	"22348.4"	148000000	964
"BD"	1993	"22348.4"	158570535	964
"BE"	1993	"9028.7"	11007020	355
"BH"	1993	"116.7"	1234571	1627
"BJ"	1993	"5136.0"	9598787	78
"BN"	1993	"332.0"	408786	67
"BO"	1993	"8773.0"	10907778	9
"BR"	1993	"190763.7"	192376496	22
"BW"	1993	"1998.1"	2029307	3
"CD"	1993	"63881.799999999996"	71712867	29
"CG"	1993	"2735.7999999999997"	3686000	11
"CH"	1993	"2540.6"	7952600	188
"CI"	1993	"8843.3"	20617068	64
"CL"	1993	"9956.699999999999"	17248450	23
"CM"	1993	"15646.699999999999"	19100000	40
"CO"	1993	"23949.5"	46366364	41
"CY"	1993	"264.5"	1099341	117
"CY"	1993	"264.5"	838897	117
"DE"	1993	"49965.5"	81799600	229
"DZ"	1993	"5687.2"	37100000	15
"EC"	1993	"4488.1"	15007343	54
"EE"	1993	"1005.9"	1340194	29
"EG"	1993	"25016.0"	90000000	2755
"EG"	1993	"25016.0"	90000000	7136
"EG"	1993	"25016.0"	90000000	76
"ER"	1993	"1212.8000000000002"	5824000	43
"ES"	1993	"24160.5"	46030109	93
"ET"	1993	"36844.299999999996"	82101998	74
"FI"	1993	"7081.9"	5404956	16
"GA"	1993	"1370.0"	1475000	6
"GB"	1993	"28462.399999999998"	62262000	256
"GE"	1993	"2156.6"	4469200	68
"GH"	1993	"19722.5"	24233431	102
"GR"	1993	"5657.7"	11305118	85
"GT"	1993	"3950.2000000000003"	13824463	129
"HN"	1993	"3139.2000000000003"	8249574	64
"HT"	1993	"1470.9"	9719932	350
"HU"	1993	"4840.8"	10014324	107
"ID"	1993	"97286.90000000001"	237424363	124
"IL"	1993	"1784.8"	7869900	371
