?iso2_str	?age	?val_str	?pop	?den
"EE"	1981	"18628.36"	1340194	29
"EG"	1981	"50978.634"	90000000	2755
"EG"	1981	"50978.634"	90000000	7136
"EG"	1981	"50978.634"	90000000	76
"ER"	1981	"297.027"	5824000	43
"ES"	1981	"207288.17599999998"	46030109	93
"ET"	1981	"1866.503"	82101998	74
"FI"	1981	"51510.348999999995"	5404956	16
"FJ"	1981	"1081.7649999999999"	849000	46
"FM"	1981	"55.004999999999995"	111000	158
"FO"	1981	"440.03999999999996"	49267	35
"GA"	1981	"6574.931"	1475000	6
"GB"	1981	"560819.9789999999"	62262000	256
"GD"	1981	"58.672"	110000	320
"GE"	1981	"9952.238"	4469200	68
"GH"	1981	"3047.277"	24233431	102
"GL"	1981	"528.048"	56615	0
"GM"	1981	"157.68099999999998"	1705000	164
"GN"	1981	"990.0899999999999"	10057975	41
"GQ"	1981	"69.673"	676000	24
"GR"	1981	"50721.943999999996"	11305118	85
"GT"	1981	"3967.694"	13824463	129
"GW"	1981	"143.013"	1647000	44
"GY"	1981	"1800.4969999999998"	7529401	4
"HN"	1981	"1822.4989999999998"	8249574	64
"HT"	1981	"766.4029999999999"	9719932	350
"HU"	1981	"86618.207"	10014324	107
"ID"	1981	"100160.438"	237424363	124
"IL"	1981	"21213.594999999998"	7869900	371
"IQ"	1981	"32122.92"	30399572	74
"IR"	1981	"112987.60399999999"	78868711	48
"IS"	1981	"1752.826"	320060	3
"IT"	1981	"378020.029"	60681514	201
"JM"	1981	"7414.674"	2847232	252
"JO"	1981	"5863.532999999999"	6508271	68
"JP"	1981	"970801.58"	127799000	337
"KE"	1981	"6527.259999999999"	43013341	67
"KG"	1981	"8305.755"	5550239	27
"KH"	1981	"300.69399999999996"	14805358	82
"KI"	1981	"29.336"	103500	135
"KN"	1981	"55.004999999999995"	51300	164
"KP"	1981	"71396.48999999999"	24051218	198
"KR"	1981	"139078.30899999998"	48875000	491
"KW"	1981	"25214.291999999998"	3566437	200
"KY"	1981	"157.68099999999998"	54878	212
"KZ"	1981	"221105.432"	16600000	6
"LA"	1981	"150.34699999999998"	6500000	27
"LB"	1981	"6351.244"	4224000	404
"LK"	1981	"3975.028"	20860000	309
"LR"	1981	"1939.8429999999998"	3786764	36
"LT"	1981	"17495.256999999998"	3187176	50
"LU"	1981	"9427.857"	509074	194
"LV"	1981	"12108.434"	2217053	34
"MA"	1981	"15856.107999999998"	32545170	72
"MD"	1981	"15628.753999999999"	3559500	122
"MG"	1981	"1026.76"	21926221	35
"MH"	1981	"51.337999999999994"	68000	343
"MK"	1981	"10340.939999999999"	2055004	82
"MM"	1981	"5639.846"	60280000	74
"MO"	1981	"535.382"	544600	18568
"MR"	1981	"663.727"	3069000	3
"MT"	1981	"1144.104"	452515	1307
"MU"	1981	"542.716"	1286340	630
"MV"	1981	"47.671"	328536	1103
"MW"	1981	"605.055"	14901000	129
"MZ"	1981	"2489.893"	22894000	29
"NC"	1981	"1393.46"	256275	13
"NE"	1981	"685.7289999999999"	15730754	12
"NG"	1981	"65958.329"	170123740	184
"NI"	1981	"2141.528"	5891199	42
"NP"	1981	"454.70799999999997"	29331000	199
"NZ"	1981	"16527.168999999998"	4422700	17
"PE"	1981	"24103.191"	29496000	23
"PF"	1981	"330.03"	267000	63
"PG"	1981	"1932.509"	6187591	13
"PK"	1981	"34400.127"	177100000	214
"PL"	1981	"410062.27499999997"	38186860	120
"PT"	1981	"27227.475"	10578776	115
"PW"	1981	"157.68099999999998"	20956	28
"PY"	1981	"1444.798"	6454548	14
"RU"	1981	"1963935.19"	143030106	8
"RW"	1981	"601.3879999999999"	11689696	420
"SA"	1981	"175491.61899999998"	27136977	12
"SB"	1981	"135.679"	523000	18
"SC"	1981	"99.009"	84000	186
"SI"	1981	"13153.528999999999"	2050189	101
"SK"	1981	"40971.390999999996"	5445324	111
"SL"	1981	"693.063"	5485998	79
"SN"	1981	"3296.633"	12855153	65
"SO"	1981	"275.025"	10085638	16
"SR"	1981	"2031.5179999999998"	560157	3
"ST"	1981	"44.004"	163000	169
"SV"	1981	"1833.5"	6134000	342
"SY"	1981	"26637.088"	22530746	118
"SZ"	1981	"436.373"	1185000	68
"TC"	1981	"11.001"	44819	104
"TD"	1981	"209.01899999999998"	10329208	8
"TG"	1981	"627.057"	6619000	117
"TH"	1981	"38048.792"	667201532	132
"TJ"	1981	"5170.469999999999"	7616000	49
"TL"	1981	"161.34799999999998"	1066582	76
"TM"	1981	"27663.847999999998"	5110000	11
"TN"	1981	"9820.225999999999"	10732900	63
"TR"	1981	"79874.594"	74724269	97
"TT"	1981	"17260.569"	1227505	254
"TZ"	1981	"2123.1929999999998"	43188000	46
"UA"	1981	"546111.642"	45888000	77
"UY"	1981	"5375.822"	3318535	19
"UZ"	1981	"118532.108"	29559100	61
"VC"	1981	"36.67"	120000	307
"VE"	1981	"91968.36"	27150	30
"VN"	1981	"17726.278"	91519289	259
"VU"	1981	"51.337999999999994"	224564	20
"WS"	1981	"102.67599999999999"	179000	63
"YE"	1981	"4231.718"	25130000	45
"ZA"	1981	"257368.395"	48810427	41
"ZM"	1981	"3366.306"	12935000	17
"ZW"	1981	"9435.190999999999"	12521000	26
"AD"	1982	"458.375"	84082	180
"AE"	1982	"36871.685"	8264070	99
