?iso2_str	?age	?val_str	?pop	?den
"AE"	2005	"22255.600000000002"	8264070	99
"AM"	2005	"2960.3"	3262200	108
"AO"	2005	"16358.699999999999"	18498000	15
"AR"	2005	"99955.9"	41281631	15
"AT"	2005	"8447.300000000001"	8414638	1003
"AU"	2005	"122047.6"	22875104	3
"AZ"	2005	"12096.3"	9165000	106
"BA"	2005	"2665.7000000000003"	3839737	75
"BD"	2005	"94194.0"	148000000	964
"BD"	2005	"94194.0"	158570535	964
"BE"	2005	"9603.300000000001"	11007020	355
"BH"	2005	"2762.0"	1234571	1627
"BJ"	2005	"4377.3"	9598787	78
"BN"	2005	"4543.3"	408786	67
"BO"	2005	"29831.0"	10907778	9
"BR"	2005	"492222.6"	192376496	22
"BW"	2005	"4657.9"	2029307	3
"CD"	2005	"57684.7"	71712867	29
"CG"	2005	"7673.6"	3686000	11
"CH"	2005	"4953.4000000000015"	7952600	188
"CI"	2005	"12471.5"	20617068	64
"CL"	2005	"18189.699999999997"	17248450	23
"CM"	2005	"13699.6"	19100000	40
"CO"	2005	"57742.600000000006"	46366364	41
"CY"	2005	"618.6"	1099341	117
"CY"	2005	"618.6"	838897	117
"DE"	2005	"61699.0"	81799600	229
"DZ"	2005	"45612.0"	37100000	15
"EC"	2005	"15130.5"	15007343	54
"EE"	2005	"2212.2999999999997"	1340194	29
"EG"	2005	"47775.1"	90000000	2755
"EG"	2005	"47775.1"	90000000	7136
"EG"	2005	"47775.1"	90000000	76
"ER"	2005	"2613.6"	5824000	43
"ES"	2005	"36314.100000000006"	46030109	93
"ET"	2005	"52959.6"	82101998	74
"FI"	2005	"9750.0"	5404956	16
"GA"	2005	"4298.099999999999"	1475000	6
"GB"	2005	"64386.6"	62262000	256
"GE"	2005	"4413.2"	4469200	68
"GH"	2005	"9975.300000000001"	24233431	102
"GR"	2005	"8204.9"	11305118	85
"GT"	2005	"8404.9"	13824463	129
"HN"	2005	"5222.6"	8249574	64
"HT"	2005	"4255.4"	9719932	350
"HU"	2005	"7877.1"	10014324	107
"ID"	2005	"259661.40000000002"	237424363	124
"IL"	2005	"3453.3"	7869900	371
"IQ"	2005	"20628.1"	30399572	74
"IR"	2005	"99791.5"	78868711	48
"IS"	2005	"335.9"	320060	3
"IT"	2005	"40089.3"	60681514	201
"JM"	2005	"1306.5"	2847232	252
"JO"	2005	"1833.2"	6508271	68
"JP"	2005	"42229.5"	127799000	337
"KE"	2005	"25615.5"	43013341	67
"KG"	2005	"3591.2999999999997"	5550239	27
"KH"	2005	"20476.8"	14805358	82
"KP"	2005	"19300.899999999998"	24051218	198
"KR"	2005	"31975.8"	48875000	491
"KW"	2005	"12756.8"	3566437	200
"KZ"	2005	"53876.8"	16600000	6
"LB"	2005	"1024.8"	4224000	404
"LK"	2005	"10294.5"	20860000	309
"LT"	2005	"5042.2"	3187176	50
"LU"	2005	"1053.3999999999999"	509074	194
"LV"	2005	"3105.0"	2217053	34
"MA"	2005	"10602.9"	32545170	72
"MD"	2005	"3540.6"	3559500	122
"MK"	2005	"1417.7"	2055004	82
"MM"	2005	"78230.5"	60280000	74
"MT"	2005	"245.10000000000002"	452515	1307
"MZ"	2005	"13749.5"	22894000	29
"NG"	2005	"84122.4"	170123740	184
"NI"	2005	"6045.0"	5891199	42
"NP"	2005	"22316.9"	29331000	199
"NZ"	2005	"27504.5"	4422700	17
"PE"	2005	"16619.0"	29496000	23
"PK"	2005	"138670.9"	177100000	214
"PL"	2005	"70593.0"	38186860	120
"PT"	2005	"13646.9"	10578776	115
"PY"	2005	"15798.400000000001"	6454548	14
"RU"	2005	"493750.9"	143030106	8
"SA"	2005	"51299.100000000006"	27136977	12
"SI"	2005	"2979.9"	2050189	101
